T, A, B, Oc, C, Oj, tj, Dp, Dn, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
1.12e+03, -0.3, -0.294, -0.362, 0.0512, 0.664, 0.272, 0.173, 0.132, 8.5, -0.12, -0.38, 14, 20, 0.11, 0.22, 26, 8.2, 0.28, -0.42, 20, 20
224, -0.472, -0.156, -0.21, 0.467, 0.411, 0.0938, 0.475, 0.243, 2.5, -0.29, 0.2, 7.1, 3.8, 0.18, -0.22, 11, 4.1, -0.096, 0.35, 8.7, 9
587, -0.318, -0.0766, -0.174, 0.181, 0.335, 0.446, 0.0174, 0.308, 2.7, 0.25, -0.058, 11, 2.6, 0.19, -0.2, 10, 4.8, 0.16, -0.33, 13, 11
965, -0.413, -0.256, -0.104, 0.587, 0.534, 0.12, 0.158, 0.087, 5.6, 0.56, -0.084, 23, 4.2, 0.2, -0.44, 14, 4.3, 0.55, -0.18, 22, 20
1.98e+03, -0.649, -0.0167, -0.0547, 0.6, 0.509, 0.301, 0.215, 0.00953, 6.3, 0.34, 0.37, 19, 7.6, 0.44, -0.23, 22, 8.4, -0.17, -0.091, 11, 18
420, -0.726, -0.17, -0.225, 0.118, 0.0695, 0.326, 0.0616, 0.294, 2.2, -0.36, -0.073, 6.9, 2.2, -0.34, -0.037, 6.6, 2.7, -0.36, -0.068, 7.4, 7
482, -0.378, -0.0938, -0.266, 0.728, 0.587, 0.214, 0.0363, 0.108, 5.3, -0.29, 0.17, 9.7, 9.1, -0.057, -0.1, 11, 4.6, -0.43, -0.0063, 9.9, 10
1.04e+03, -0.752, -0.359, -0.159, 0.194, 0.625, 0.139, 0.101, 0.483, 4.6, -0.46, 0.26, 11, 5.2, -0.31, 0.15, 9.7, 3.5, -0.48, -0.14, 9.5, 10
578, -0.487, -0.241, -0.271, 0.741, 0.249, 0.308, 0.411, 0.217, 1.9, -0.36, 0.2, 7, 1.8, -0.46, 0.072, 7.5, 1.6, -0.021, -0.34, 6, 6.8
1.34e+03, -0.536, -0.0411, -0.249, 0.581, 0.469, 0.273, 0.493, 0.238, 3.2, -0.41, -0.022, 8.3, 3.2, -0.36, -0.022, 7.9, 3.2, -0.38, 0.0098, 8, 8.1
408, -0.25, -0.179, -0.339, 0.525, 0.464, 0.0944, 0.253, 0.429, 30, 0.0037, 0.022, 31, 30, 0.3, -0.071, 40, 30, -0.081, -0.062, 32, 34
1.93e+03, -0.706, -0.0082, -0.2, 0.749, 0.254, 0.142, 0.127, 0.111, 4.2, -0.37, 0.11, 9, 4.3, -0.38, 0.031, 9.1, 4.3, -0.37, -0.0081, 9, 9.1
1.17e+03, -0.128, -0.0724, -0.339, 0.582, 0.254, 0.402, 0.208, 0.367, 0.8, -0.41, -0.009, 5.9, 0.75, -0.38, -0.006, 5.5, 0.8, -0.41, -0.0076, 5.9, 5.8
1.05e+03, -0.587, -0.0102, -0.0413, 0.634, 0.0749, 0.403, 0.033, 0.267, 3.3, -0.4, -0.057, 8.3, 3.1, -0.26, -0.13, 7, 4.6, -0.5, -0.16, 11, 8.7
1.79e+03, -0.643, -0.0757, -0.154, 0.212, 0.656, 0.331, 0.213, 0.341, 9.1, 0.039, 0.39, 15, 11, 0.62, -0.024, 31, 8.1, 0.22, -0.59, 20, 22
602, -0.405, -0.362, -0.246, 0.0962, 0.215, 0.337, 0.264, 0.0635, 1.9, -0.33, 0.25, 7, 2, -0.35, 0.23, 7.2, 2, -0.31, 0.25, 7, 7.1
775, -0.651, -0.209, -0.358, 0.48, 0.33, 0.209, 0.207, 0.235, 0.9, -0.41, -0.027, 6, 0.85, -0.38, -0.03, 5.6, 0.85, -0.38, -0.027, 5.6, 5.7
280, -0.151, -0.262, -0.343, 0.0941, 0.193, 0.0993, 0.21, 0.153, 0.7, -0.4, -0.013, 5.7, 0.7, -0.4, -0.011, 5.7, 0.7, -0.4, -0.013, 5.7, 5.7
533, -0.498, -0.202, -0.227, 0.748, 0.639, 0.134, 0.122, 0.368, 7.2, 1.4, -0.72, 51, 8.9, 1.8, -0.039, 65, 14, 1.4, -2, 67, 61
1.74e+03, -0.153, -0.0445, -0.162, 0.675, 0.662, 0.193, 0.176, 0.38, 5.2, 0.093, -0.44, 13, 5.2, 0.082, -0.45, 12, 5.1, 0.03, -0.44, 11, 12
986, -0.211, -0.0604, -0.29, 0.389, 0.253, 0.363, 0.334, 0.358, 1, -0.41, -0.0037, 6.2, 1.1, -0.41, 0.0007, 6.2, 1.1, -0.41, -7.2e-05, 6.2, 6.2
806, -0.618, -0.314, -0.225, 0.00822, 0.581, 0.0272, 0.246, 0.491, 4.6, 0.51, -0.0087, 21, 4.7, -0.48, -0.058, 11, 4.8, -0.73, 0.24, 13, 15
1.54e+03, -0.591, -0.0273, -0.166, 0.757, 0.525, 0.305, 0.457, 0.385, 4.3, 0.35, -0.35, 17, 3.4, -0.47, 0.11, 9.2, 3.5, -0.44, -0.027, 8.9, 12
1.28e+03, -0.532, -0.0559, -0.0945, 0.319, 0.32, 0.154, 0.396, 0.138, 4.7, -0.38, -0.059, 9.5, 4.9, -0.3, -0.16, 9.3, 4.7, -0.38, -0.037, 9.5, 9.4
