T, A, B, Oc, C, Oj tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
339, -0.406, -0.0431, -0.386, 0.481, 0.229, 0.00672, 0.197, 0.306, 0.0809, 0.65, -0.39, 0.0058, 5.5, 0.65, -0.38, 0.0048, 5.5, 0.65, -0.38, 0.0043, 5.5, 5.5
643, -0.193, -0.095, -0.304, 0.247, 0.122, 0.261, 0.107, 0.296, 0.137, 0.7, -0.4, -0.0038, 5.7, 0.7, -0.4, -0.0047, 5.7, 0.7, -0.4, -0.0045, 5.7, 5.7
775, -0.107, -0.0925, -0.109, 0.469, 0.301, 0.00953, 0.462, 0.212, 0.0799, 30, -0.07, 0.012, 32, 30, -0.089, 0.0098, 32, 30, -0.085, 0.016, 32, 32
242, -0.331, -0.225, -0.34, 0.0775, 0.457, 0.0616, 0.294, 0.127, 0.168, 1, -0.34, 0.019, 5.4, 1, -0.32, 0.0097, 5.2, 1, -0.33, 0.0068, 5.4, 5.3
294, -0.378, -0.0938, -0.266, 0.728, 0.587, 0.214, 0.0363, 0.108, 0.16, 1.9, -0.17, -0.11, 4.9, 30, 2.2, 0.36, 97, 30, 1.9, -0.42, 89, 63
531, -0.417, -0.385, -0.359, 0.469, 0.174, 0.446, 0.139, 0.101, 0.164, 0.7, -0.4, -0.011, 5.7, 0.7, -0.41, -0.039, 5.8, 0.7, -0.41, -0.015, 5.8, 5.8
486, -0.0363, -0.316, -0.25, 0.311, 0.225, 0.475, 0.178, 0.308, 0.14, 4.6, -0.079, 0.26, 8.3, 3, -0.16, 0.29, 7.3, 3.8, -0.42, -0.068, 9.1, 8.2
504, -0.111, -0.325, -0.147, 0.244, 0.628, 0.189, 0.373, 0.335, 0.0928, 3.8, 0.53, 0.2, 21, 5.1, 0.14, -0.47, 14, 3.8, 0.51, 0.1, 20, 18
370, -0.582, -0.311, -0.255, 0.0899, 0.476, 0.276, 0.0761, 0.337, 0.113, 3.2, 0.21, -0.66, 15, 2.5, 0.47, 0.028, 18, 1.8, -0.22, -0.18, 5.5, 13
418, -0.152, -0.233, -0.106, 0.645, 0.671, 0.0473, 0.49, 0.25, 0.163, 30, -0.38, -0.51, 37, 30, 2.2, -0.9, 1e+02, 30, -0.19, -0.92, 40, 59
688, -0.696, -0.0777, -0.374, 0.417, 0.115, 0.27, 0.418, 0.41, 0.0258, 0.6, -0.37, -0.0073, 5.3, 0.6, -0.37, -0.0076, 5.3, 0.6, -0.37, -0.0091, 5.3, 5.3
569, -0.568, -0.025, -0.135, 0.333, 0.477, 0.0741, 0.235, 0.124, 0.166, 3.9, -0.1, -0.29, 7.9, 3.8, -0.23, -0.042, 7.2, 3.3, 0.48, 0.27, 19, 12
257, -0.48, -0.351, -0.277, 0.526, 0.37, 0.0635, 0.181, 0.441, 0.0298, 2, -0.23, -0.25, 6.4, 2, -0.17, -0.26, 6, 2, -0.27, -0.22, 6.4, 6.3
299, -0.408, -0.358, -0.154, 0.367, 0.292, 0.207, 0.235, 0.0622, 0.0379, 1.7, -0.05, 0.15, 4.3, 1.8, -0.092, -0.029, 3.8, 1.6, -0.15, 0.082, 4.4, 4.1
227, -0.151, -0.262, -0.343, 0.0941, 0.193, 0.0993, 0.21, 0.153, 0.0158, 0.7, -0.4, -0.0081, 5.7, 0.7, -0.4, -0.0093, 5.7, 0.7, -0.4, -0.0085, 5.7, 5.7
475, -0.636, -0.256, -0.202, 0.337, 0.671, 0.456, 0.134, 0.122, 0.125, 2.6, 0.36, 0.36, 16, 3.2, 0.42, 0.076, 17, 2.1, -0.079, -0.25, 5.7, 13
629, -0.151, -0.0567, -0.0784, 0.693, 0.416, 0.433, 0.473, 0.193, 0.0598, 26, -0.46, -0.42, 33, 13, 0.0074, -0.59, 20, 30, -0.069, 0.029, 32, 28
495, -0.0135, -0.377, -0.225, 0.569, 0.594, 0.138, 0.249, 0.181, 0.124, 11, 1.1, 0.14, 45, 6.4, 0.59, -0.097, 25, 9.1, 0.69, 0.53, 33, 34
566, -0.0668, -0.0919, -0.241, 0.263, 0.146, 0.108, 0.219, 0.00527, 0.141, 0.95, -0.41, -0.0036, 6, 0.95, -0.41, -0.0025, 6, 0.95, -0.39, -0.0023, 5.8, 6
475, -0.539, -0.0832, -0.289, 0.766, 0.519, 0.121, 0.466, 0.292, 0.165, 30, 3.1, 2, 1.3e+02, 30, -0.54, 2.4, 55, 30, 3.4, 1.5, 1.4e+02, 1.1e+02
744, -0.0539, -0.0131, -0.134, 0.228, 0.231, 0.301, 0.159, 0.43, 0.13, 30, 0.75, -0.16, 54, 30, 0.18, -0.072, 37, 30, 0.26, -0.3, 40, 44
503, -0.553, -0.0783, -0.342, 0.521, 0.505, 0.245, 0.232, 0.0517, 0.011, 2, 0.22, -0.16, 10, 2.2, 0.18, -0.21, 9.6, 2, 0.23, -0.13, 10, 10
419, -0.637, -0.351, -0.123, 0.743, 0.228, 0.0907, 0.234, 0.0612, 0.0384, 2.4, 0.021, -0.54, 9.2, 2.3, 0.29, -0.3, 13, 2.5, -0.46, -0.21, 8.6, 10
273, -0.25, -0.359, -0.0727, 0.542, 0.0622, 0.227, 0.13, 0.49, 0.119, 3.2, -0.11, 0.27, 7.1, 2.2, 0.15, -0.17, 8.5, 2.6, -0.43, 0.12, 8, 7.9
348, -0.486, -0.109, -0.276, 0.269, 0.0939, 0.391, 0.0517, 0.072, 0.158, 1.2, -0.37, 0.00039, 5.9, 1.3, -0.37, -0.0023, 6, 1.4, -0.36, -0.052, 6, 6
699, -0.394, -0.249, -0.0799, 0.0264, 0.35, 0.201, 0.398, 0.214, 0.0504, 3.4, -0.55, -0.042, 10, 3.2, -0.33, 0.12, 7.8, 3.6, -0.53, -0.21, 10, 9.4
564, -0.73, -0.0553, -0.267, 0.193, 0.463, 0.323, 0.215, 0.0643, 0.0489, 2.4, -0.18, -0.16, 5.8, 2.1, -0.41, 0.042, 7.2, 2.2, -0.38, 0.055, 7.1, 6.7
476, -0.56, -0.184, -0.126, 0.138, 0.596, 0.249, 0.0285, 0.0492, 0.162, 2.8, -0.27, 0.33, 8.2, 2.8, 0.2, 0.56, 14, 3, 0.013, 0.57, 10, 11
296, -0.186, -0.153, -0.352, 0.296, 0.589, 0.259, 0.487, 0.132, 0.0254, 2.3, -0.14, 0.021, 4.7, 3.3, -0.12, 0.22, 6.9, 2.8, -0.11, 0.07, 5.1, 5.6
598, -0.464, -0.279, -0.0946, 0.452, 0.0331, 0.435, 0.0934, 0.00486, 0.113, 3, 0.18, -0.38, 12, 2, -0.39, -0.042, 6.9, 2.3, -0.12, 0.36, 7.2, 8.6
770, -0.753, -0.093, -0.137, 0.676, 0.275, 0.419, 0.147, 0.228, 0.0703, 4, -0.47, 0.48, 12, 3.2, -0.4, -0.15, 8.5, 4.3, -0.11, -0.25, 8.1, 9.4
527, -0.752, -0.382, -0.241, 0.571, 0.65, 0.0577, 0.152, 0.414, 0.00683, 2.5, 0.56, 0.088, 20, 2.1, -0.26, -0.24, 6.7, 2.5, 0.013, -0.54, 9.1, 12
600, -0.525, -0.296, -0.335, 0.257, 0.181, 0.445, 0.205, 0.309, 0.113, 0.7, -0.39, -0.028, 5.6, 0.7, -0.39, -0.028, 5.6, 0.7, -0.39, -0.028, 5.6, 5.6
505, -0.142, -0.0983, -0.353, 0.415, 0.124, 0.16, 0.349, 0.269, 0.0166, 0.65, -0.4, -0.0062, 5.6, 0.65, -0.4, -0.0062, 5.6, 0.65, -0.4, -0.0057, 5.6, 5.6
787, -0.736, -0.051, -0.0935, 0.601, 0.677, 0.0516, 0.171, 0.0404, 0.0535, 1.4, 0.4, 0.013, 14, 1.5, 0.42, 0.043, 15, 1.4, 0.41, 0.021, 15, 15
216, -0.532, -0.318, -0.28, 0.198, 0.476, 0.26, 0.259, 0.284, 0.0329, 1.2, -0.27, -0.04, 4.9, 1.1, -0.27, -0.012, 4.9, 1.2, -0.29, -0.03, 5.1, 5
662, -0.0357, -0.164, -0.0158, 0.525, 0.229, 0.0876, 0.178, 0.394, 0.0818, 30, 0.017, -0.16, 33, 30, 0.35, 0.2, 42, 30, 0.38, -0.27, 43, 39
761, -0.00147, -0.192, -0.35, 0.417, 0.643, 0.464, 0.239, 0.0207, 0.0382, 3.3, -0.31, -0.42, 9.5, 5.6, -0.0031, 0.44, 11, 4.6, 0.22, 0.38, 14, 12
308, -0.168, -0.0614, -0.151, 0.0817, 0.597, 0.446, 0.241, 0.419, 0.0921, 3.8, -0.42, -0.091, 9.1, 3.1, 0.32, 0.075, 14, 4.1, 0.33, 0.17, 16, 13
472, -0.674, -0.0474, -0.308, 0.617, 0.627, 0.32, 0.129, 0.0477, 0.0119, 1.2, -0.00098, -0.25, 4.8, 1.2, -0.018, -0.27, 5, 1.2, -0.011, -0.27, 4.9, 4.9
382, -0.499, -0.385, -0.182, 0.154, 0.352, 0.465, 0.119, 0.0373, 0.0393, 2.4, -0.36, 0.13, 7.3, 2.4, 0.13, -0.36, 9.9, 2.7, 0.41, 0.031, 16, 11
262, -0.129, -0.0684, -0.218, 0.208, 0.212, 0.216, 0.181, 0.31, 0.0489, 2.6, -0.28, 0.18, 6.9, 2.7, -0.26, 0.17, 6.8, 2.5, -0.33, 0.0053, 6.8, 6.9
650, -0.615, -0.0533, -0.273, 0.196, 0.462, 0.0248, 0.0439, 0.193, 0.0959, 2.2, -0.14, -0.26, 6.2, 2.2, -0.23, -0.22, 6.3, 2.3, 0.071, -0.33, 8.2, 6.9
238, -0.493, -0.0325, -0.0852, 0.0795, 0.299, 0.385, 0.177, 0.115, 0.102, 3, -0.2, 0.53, 9.6, 2, -0.45, -0.039, 7.6, 2.3, -0.27, 0.41, 8.3, 8.5
375, -0.661, -0.067, -0.0293, 0.244, 0.0612, 0.31, 0.261, 0.000727, 0.0106, 1.9, -0.24, 0.12, 5.5, 2.2, -0.15, 0.095, 5, 2.8, -0.38, 0.4, 9.3, 6.6
590, -0.11, -0.0861, -0.341, 0.0167, 0.0436, 0.0152, 0.252, 0.037, 0.0299, 0.6, -0.37, -0.0016, 5.3, 0.6, -0.37, -0.0026, 5.3, 0.6, -0.37, -0.0019, 5.3, 5.3
477, -0.727, -0.147, -0.299, 0.413, 0.463, 0.0501, 0.0633, 0.114, 0.166, 2, -0.34, 0.14, 6.7, 3, -0.2, 0.43, 8.8, 1.9, -0.38, 0.067, 6.7, 7.4
295, -0.434, -0.0406, -0.0468, 0.581, 0.201, 0.00469, 0.416, 0.451, 0.17, 30, 1.6, 0.49, 78, 30, 1.6, 0.32, 79, 30, 1.4, 0.89, 76, 78
259, -0.0312, -0.351, -0.266, 0.105, 0.0697, 0.377, 0.159, 0.277, 0.0921, 0.7, -0.38, -0.02, 5.5, 0.75, -0.42, -0.014, 5.9, 0.7, -0.38, -0.022, 5.5, 5.6
614, -0.582, -0.0241, -0.331, 0.724, 0.0288, 0.379, 0.369, 0.396, 0.0512, 0.65, -0.4, -0.036, 5.7, 0.65, -0.4, -0.038, 5.7, 0.65, -0.4, -0.032, 5.7, 5.7
782, -0.172, -0.257, -0.431, 0.634, 0.205, 0.0442, 0.235, 0.161, 0.0375, 0.6, -0.37, 0.00019, 5.3, 0.6, -0.37, -0.00011, 5.3, 0.6, -0.38, -0.0013, 5.4, 5.3
1.03e+03, -0.0964, -0.172, -0.249, 0.0179, 0.204, 0.0212, 0.354, 0.155, 0.0462, 1.6, -0.39, -0.0051, 6.5, 7.6, -0.26, -0.046, 11, 19, 0.011, -0.25, 23, 14
550, -0.748, -0.385, -0.263, 0.744, 0.585, 0.118, 0.138, -0.0077, -0.0135, 2.6, 0.16, -0.47, 12, 2.7, 0.2, -0.47, 13, 2.8, -0.049, -0.52, 9, 11
511, -0.74, -0.354, -0.27, 0.0174, 0.516, 0.405, 0.201, 0.478, 0.0487, 1.6, -0.4, 0.18, 7, 1.7, -0.48, 0.14, 7.7, 1.9, -0.44, 0.24, 7.9, 7.5
579, 0.0646, -0.0272, -0.4, 0.019, 0.335, -0.0373, 0.189, 0.0508, 0.0687, 0.75, -0.41, -0.0005, 5.8, 0.75, -0.4, -0.00039, 5.8, 0.75, -0.4, -0.00037, 5.8, 5.8
402, -0.313, -0.0687, -0.315, 0.0536, 0.23, 0.14, 0.186, 0.366, 0.09, 0.8, -0.39, 0.0061, 5.7, 0.8, -0.39, 0.0068, 5.7, 0.8, -0.39, 0.0073, 5.7, 5.7
212, -0.453, -0.256, -0.0379, 0.533, 0.0451, 0.243, 0.434, 0.0778, 0.216, 2.8, -0.49, 0.078, 8.7, 2.5, -0.44, 0.19, 8.4, 3.8, 0.17, -0.062, 9.9, 9
233, 0.204, -0.167, -0.172, 0.427, 0.505, -0.00353, 0.171, -0.0952, 0.195, 30, 0.11, 0.3, 37, 22, -3, 0.41, 54, 30, 0.15, 0.13, 36, 42
470, -0.574, -0.104, -0.239, 0.528, 0.419, 0.0822, 0.233, 0.137, 0.143, 2.7, -0.15, -0.36, 7.6, 2.8, -0.11, -0.43, 8.2, 2.1, 0.14, -0.29, 9.1, 8.3
552, -0.131, -0.11, -0.117, 0.326, 0.641, 0.142, 0.233, 0.183, 0.151, 30, 0.14, 0.035, 35, 30, -0.24, -0.13, 34, 30, 0.16, 0.13, 36, 35
304, -0.4, -0.0442, -0.522, 0.488, 0.201, 0.00768, 0.236, 0.35, 0.0477, 0.55, -0.37, -0.0027, 5.3, 0.55, -0.37, -0.0024, 5.3, 0.55, -0.37, -0.0031, 5.3, 5.3
285, -0.437, -0.0399, -0.295, 0.562, 0.201, 0.004, 0.188, 0.481, 0.162, 0.8, -0.39, 0.0042, 5.7, 0.8, -0.39, 0.0034, 5.7, 0.8, -0.39, 0.0026, 5.7, 5.7
914, -0.173, -0.000523, -0.034, 0.151, 0.205, 0.387, 0.395, 0.421, 0.124, 30, 0.24, 0.18, 39, 30, 0.4, 0.12, 43, 9.5, -0.33, 0.15, 14, 32
863, -0.125, -0.0166, -0.093, 0.586, 0.194, 0.363, 0.216, 0.437, 0.14, 4.5, -0.46, -0.18, 10, 4.4, -0.13, 0.49, 10, 3.8, -0.31, -0.39, 9.9, 10
456, -0.215, -0.263, -0.332, 0.0791, 0.168, 0.449, 0.0975, 0.136, 0.0483, 0.7, -0.4, 0.0051, 5.7, 0.7, -0.4, 0.0034, 5.7, 0.7, -0.4, 0.0031, 5.7, 5.7
297, -0.658, -0.438, -0.303, 0.0688, 0.12, 0.25, 0.129, 0.0213, 0.0184, 0.7, -0.4, 0.001, 5.7, 0.7, -0.39, 0.012, 5.7, 0.7, -0.39, 0.0037, 5.6, 5.7
592, 0.107, -0.115, -0.333, 0.426, 0.131, 0.0868, 0.307, 0.245, 0.018, 0.7, -0.41, 0.0022, 5.8, 0.65, -0.38, 0.0031, 5.4, 0.7, -0.41, 0.002, 5.8, 5.7
612, -0.795, -0.0951, -0.348, 0.414, 0.157, 0.233, 0.243, 0.444, 0.02, 0.65, -0.38, -0.02, 5.4, 0.65, -0.38, -0.019, 5.5, 0.65, -0.38, -0.019, 5.5, 5.5
374, -0.294, -0.0743, -0.208, 0.203, 0.0953, 0.342, 0.237, -0.00499, 0.00973, 1, -0.38, -0.076, 5.9, 1, -0.38, -0.077, 5.9, 1, -0.39, -0.072, 5.9, 5.9
