T, A, B, Oc, C, Oj, tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, savg
293, -0.617, -0.0431, -0.386, 0.94, 0.457, 0.00672, 0.394, 0.611, 0.238, 1.4, -0.37, 0.031, 7.5, 15, -0.51, -0.0017, 36, 15
496, -0.398, -0.095, -0.304, 0.58, 0.244, 0.261, 0.215, 0.592, 0.404, 0.82, -0.38, 0.0054, 6.4, 0.88, -0.38, -0.00067, 6.6, 4.3
583, -0.309, -0.0925, -0.109, 0.921, 0.603, 0.00953, 0.925, 0.425, 0.235, 15, -0.94, 0.056, 40, 15, -0.78, 0.062, 39, 26
228, -0.54, -0.225, -0.34, 0.319, 0.914, 0.0616, 0.589, 0.254, 0.495, 0.9, 0.36, 0.029, 13, 0.9, 0.37, 0.018, 14, 9.1
263, -0.587, -0.0938, -0.266, 1.32, 1.17, 0.214, 0.0726, 0.217, 0.47, 0.7, 0.4, 0.024, 14, 0.7, 0.4, 0.027, 14, 9.6
421, -0.627, -0.385, -0.359, 0.922, 0.349, 0.446, 0.278, 0.201, 0.483, 1.5, -0.31, -0.18, 7.6, 1.5, -0.34, -0.16, 7.7, 5.1
391, -0.237, -0.316, -0.25, 0.678, 0.45, 0.475, 0.355, 0.616, 0.411, 15, -0.082, -0.11, 32, 15, 0.087, 0.095, 34, 22
403, -0.313, -0.325, -0.147, 0.575, 1.26, 0.189, 0.745, 0.67, 0.273, 0.65, 0.36, -0.0093, 13, 0.68, 0.37, -0.014, 14, 8.8
313, -0.797, -0.311, -0.255, 0.338, 0.952, 0.276, 0.152, 0.673, 0.331, 0.85, 0.41, 0.0055, 15, 0.82, 0.4, -0.0014, 15, 9.9
345, -0.356, -0.233, -0.106, 1.19, 1.34, 0.0473, 0.98, 0.5, 0.48, 0.65, 0.35, -0.0015, 13, 0.68, 0.36, -0.00013, 13, 8.7
525, -0.914, -0.0777, -0.374, 0.842, 0.23, 0.27, 0.835, 0.819, 0.076, 0.68, -0.38, -0.072, 6.2, 0.68, -0.38, -0.072, 6.2, 4.1
446, -0.783, -0.025, -0.135, 0.712, 0.955, 0.0741, 0.47, 0.247, 0.487, 0.73, 0.39, 0.0014, 14, 0.73, 0.39, -0.005, 14, 9.5
238, -0.692, -0.351, -0.277, 1.01, 0.74, 0.0635, 0.361, 0.882, 0.0876, 1.7, 0.53, -0.04, 20, 2, 0.51, 0.08, 20, 14
266, -0.618, -0.358, -0.154, 0.765, 0.584, 0.207, 0.47, 0.124, 0.112, 1.6, 0.51, 0.052, 20, 1.4, -0.19, 0.044, 5.6, 8.4
218, -0.355, -0.262, -0.343, 0.345, 0.386, 0.0993, 0.421, 0.306, 0.0465, 1.4, -0.17, -0.012, 5.6, 1.6, -0.094, 0.035, 5.2, 3.6
384, -0.852, -0.256, -0.202, 0.718, 1.34, 0.456, 0.268, 0.245, 0.368, 0.62, 0.37, -0.0095, 13, 0.68, 0.37, -0.041, 13, 8.9
486, -0.355, -0.0567, -0.0784, 1.27, 0.832, 0.433, 0.946, 0.386, 0.176, 0.8, 0.41, 0.07, 15, 0.8, 0.41, 0.065, 15, 9.9
397, -0.214, -0.377, -0.225, 1.08, 1.19, 0.138, 0.499, 0.361, 0.363, 0.65, 0.39, -0.017, 14, 0.65, 0.39, -0.021, 14, 9.4
444, -0.268, -0.0919, -0.241, 0.604, 0.291, 0.108, 0.437, 0.0105, 0.415, 15, 0.24, -0.14, 39, 15, -0.11, -0.025, 32, 24
383, -0.753, -0.0832, -0.289, 1.38, 1.04, 0.121, 0.932, 0.584, 0.486, 0.75, 0.44, -0.037, 16, 0.73, 0.43, -0.023, 15, 10
562, -0.255, -0.0131, -0.134, 0.551, 0.462, 0.301, 0.317, 0.86, 0.382, 2.7, 0.23, -0.48, 16, 2.7, 0.28, -0.47, 17, 11
402, -0.767, -0.0783, -0.342, 1, 1.01, 0.245, 0.463, 0.103, 0.0322, 0.77, 0.42, 0.0074, 15, 0.77, 0.44, -0.0042, 16, 10
346, -0.853, -0.351, -0.123, 1.34, 0.457, 0.0907, 0.468, 0.122, 0.113, 12, 2.3, -0.38, 96, 3.3, 0.88, 0.15, 34, 43
249, -0.456, -0.359, -0.0727, 1.03, 0.124, 0.227, 0.261, 0.98, 0.35, 2.1, 0.31, -0.079, 15, 2.3, 0.22, -0.23, 13, 9.3
