T, A, B, Oc, C, Oj, tj, Dp, Dn, E, t1, dx1, dy1, s1, t2, dx2, dy2, s2, t3, dx3, dy3, s3, savg
293, -0.617, -0.0431, -0.483, 1.99, 0.653, 0.00672, 0.394, 0.611, 0.238, 2.4, -0.45, 0.094, 8, 9.1, -0.75, 0.35, 18, 2.2, -0.37, -0.14, 7.2, 11
496, -0.398, -0.095, -0.38, 1.12, 0.348, 0.261, 0.215, 0.592, 0.404, 0.75, -0.33, 0.039, 5, 0.77, -0.34, 0.047, 5.2, 0.75, -0.32, 0.037, 5, 5.1
583, -0.309, -0.0925, -0.137, 1.94, 0.861, 0.00953, 0.925, 0.425, 0.235, 0.77, 0.37, -0.079, 13, 0.82, 0.36, -0.079, 13, 0.8, 0.36, -0.073, 13, 13
228, -0.54, -0.225, -0.424, 0.488, 1.31, 0.0616, 0.589, 0.254, 0.495, 0.6, 0.34, -0.068, 12, 0.57, 0.33, -0.052, 11, 0.57, 0.33, -0.038, 12, 12
263, -0.587, -0.0938, -0.333, 2.91, 1.68, 0.214, 0.0726, 0.217, 0.47, 0.52, 0.29, -0.009, 10, 0.52, 0.29, -0.034, 10, 0.52, 0.29, -0.03, 10, 10
421, -0.627, -0.385, -0.449, 1.94, 0.498, 0.446, 0.278, 0.201, 0.483, 1.3, -0.3, -0.12, 5.6, 1.4, -0.2, -0.18, 5.1, 1.4, -0.27, -0.16, 5.4, 5.4
391, -0.237, -0.316, -0.312, 1.36, 0.644, 0.475, 0.355, 0.616, 0.411, 15, 0.79, 0.48, 41, 2.4, 0.44, 4.7e-06, 17, 15, 0.72, 1.3, 45, 34
403, -0.313, -0.325, -0.183, 1.11, 1.79, 0.189, 0.745, 0.67, 0.273, 0.57, 0.29, -0.016, 10, 0.57, 0.3, -0.013, 11, 0.57, 0.31, -0.015, 11, 11
313, -0.797, -0.311, -0.319, 0.534, 1.36, 0.276, 0.152, 0.673, 0.331, 0.55, 0.31, -0.029, 11, 0.57, 0.32, -0.038, 11, 0.57, 0.32, -0.033, 11, 11
345, -0.356, -0.233, -0.133, 2.6, 1.92, 0.0473, 0.98, 0.5, 0.48, 0.57, 0.29, -0.019, 10, 0.57, 0.3, -0.018, 11, 0.57, 0.31, -0.021, 11, 11
525, -0.914, -0.0777, -0.467, 1.75, 0.328, 0.27, 0.835, 0.819, 0.076, 0.65, -0.3, -0.086, 4.7, 0.57, -0.31, -0.068, 4.7, 0.57, -0.31, -0.066, 4.7, 4.7
446, -0.783, -0.025, -0.169, 1.44, 1.36, 0.0741, 0.47, 0.247, 0.487, 0.6, 0.32, -0.02, 11, 0.6, 0.33, -0.021, 11, 0.57, 0.3, -0.02, 11, 11
238, -0.692, -0.351, -0.346, 2.16, 1.06, 0.0635, 0.361, 0.882, 0.0876, 0.73, 0.41, 0.012, 14, 0.73, 0.41, 0.011, 14, 0.75, 0.42, 0.00097, 14, 14
266, -0.618, -0.358, -0.193, 1.57, 0.835, 0.207, 0.47, 0.124, 0.112, 0.9, 0.42, 0.034, 15, 0.98, 0.44, 0.081, 15, 1.1, 0.46, 0.065, 16, 15
218, -0.355, -0.262, -0.429, 0.55, 0.551, 0.0993, 0.421, 0.306, 0.0465, 0.88, -0.29, -0.0032, 4.8, 0.93, -0.3, -0.0009, 4.9, 0.9, -0.29, 0.00064, 4.8, 4.8
384, -0.852, -0.256, -0.252, 1.45, 1.92, 0.456, 0.268, 0.245, 0.368, 0.55, 0.31, -0.038, 11, 0.52, 0.29, -0.034, 10, 0.52, 0.3, -0.036, 10, 11
486, -0.355, -0.0567, -0.098, 2.78, 1.19, 0.433, 0.946, 0.386, 0.176, 0.65, 0.33, 0.063, 12, 0.65, 0.32, 0.06, 11, 0.65, 0.33, 0.064, 11, 12
