T, A, B, Oc, C, Oj, tj, Dp, Dn, t1, d1, s1, t2, d2, s2, t3, d3, s3, savg
1.73e+03, -0.384, -0.279, -0.38, 0.251, 0.271, 0.379, 0.161, 0.388, 0.7, 0, 1.7, 0.7, 0, 1.7, 0.7, 0, 1.7, 1.7
648, -0.22, -0.159, -0.252, 0.414, 0.523, 0.0722, 0.436, 0.335, 20, 0.12, 25, 20, 0.11, 24, 20, 0.14, 25, 25
1.73e+03, -0.58, -0.389, -0.203, 0.0414, 0.587, 0.292, 0.182, 0.247, 13, 0.23, 21, 8.9, 0.17, 15, 20, 0.16, 26, 21
1.82e+03, -0.392, -0.26, -0.268, 0.351, 0.568, 0.359, 0.125, 0.449, 10, 0, 11, 7.5, 0, 8.5, 7.4, 0, 8.4, 9.4
1.12e+03, -0.28, -0.046, -0.00493, 0.576, 0.289, 0.381, 0.355, 0.0606, 3.9, 0, 4.8, 3.8, 0.18, 10, 3.9, 0.26, 13, 9.2
1.22e+03, -0.327, -0.27, -0.0546, 0.706, 0.344, 0.234, 0.392, 0.49, 4.3, 0.26, 13, 4.2, 0.16, 10, 4.4, 0.038, 6.5, 9.9
1.17e+03, -0.731, -0.00457, -0.226, 0.499, 0.273, 0.0517, 0.243, 0.135, 3.4, 0, 4.3, 3.4, 0, 4.3, 3.4, 0, 4.3, 4.3
267, -0.0707, -0.295, -0.0682, 0.279, 0.529, 0.13, 0.201, 0.0719, 2.8, 0.45, 17, 2.9, 0.29, 12, 2.5, 0.41, 16, 15
648, -0.232, -0.336, -0.0586, 0.538, 0.332, 0.479, 0.294, 0.161, 2.6, 0.28, 12, 3.5, 0, 4.5, 2.7, 0.13, 7.5, 8
535, -0.751, -0.102, -0.146, 0.137, 0.645, 0.0658, 0.191, 0.249, 2.5, 0.58, 21, 2.4, 0, 3.3, 2.7, 0.44, 17, 14
1.17e+03, -0.144, -0.395, -0.064, 0.407, 0.212, 0.476, 0.454, 0.301, 4.6, 0, 5.6, 4.6, 0.3, 15, 4.1, 0.074, 7.3, 9.1
1.65e+03, -0.495, -0.0468, -0.387, 0.619, 0.117, 0.109, 0.0734, 0.298, 0.6, 0, 1.6, 0.6, 0, 1.6, 0.6, 0, 1.6, 1.6
268, -0.478, -0.339, -0.357, 0.383, 0.241, 0.424, 0.0325, 0.468, 0.75, 0, 1.8, 0.75, 0, 1.8, 0.75, 0, 1.8, 1.8
609, -0.325, -0.119, -0.316, 0.531, 0.216, 0.409, 0.353, 0.12, 0.8, 0, 1.8, 0.8, 0, 1.8, 0.8, 0, 1.8, 1.8
