282, -0.63, -0.397, -0.372, 0.716, 0.313, 0.141, 0.228, 0.0569, 0.75, 0, 1.8, 0.9, 0, 1.9, 0, 0, 1, 1.6
214, -0.281, -0.368, -0.00576, 0.0937, 0.119, 0.129, 0.175, 0.219, 2.4, 0.15, 7.9, 0, 0, 1, 5.3, 0, 6.3, 5.1
798, -0.615, -0.0178, -0.264, 0.377, 0.469, 0.352, 0.0467, 0.649, 1.2, 0, 2.1, 6.2, 0.79, 31, 0, 0, 1, 11
1.15e+03, -0.271, -0.389, -0.208, 0.308, 0.163, 0.462, 0.379, 0.217, 0, 0, 1, 8.1, 0, 9.1, 1.5, 0, 2.5, 4.2
1.76e+03, -0.243, -0.102, -0.219, 0.646, 0.0783, 0.366, 0.383, 0.474, 2.4, 0, 3.4, 2.9, 0, 3.9, 8.8, 0, 9.8, 5.7
318, -0.241, -0.228, -0.165, 0.596, 0.144, 0.0233, 0.769, 0.399, 20, 0, 21, 3.8, 0, 4.8, 0, 0, 1, 8.9
1.91e+03, -0.123, -0.136, -0.141, 0.325, 0.582, 0.122, 0.249, 0.658, 20, 0.078, 23, 0, 0, 1, 0, 0, 1, 8.4
1.81e+03, -0.457, -0.186, -0.0448, 0.11, 0.538, 0.113, 0.779, 0.673, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
1.08e+03, -0.348, -0.0966, -0.24, 0.507, 0.044, 0.425, 0.389, 0.711, 0, 0, 1, 1.2, 0, 2.1, 1.4, 0, 2.4, 1.8
865, -0.583, -0.0131, -0.227, 0.753, 0.317, 0.336, 0.67, 0.0598, 1.9, 0.14, 7.2, 0, 0, 1, 0, 0, 1, 3.1
1.65e+03, -0.761, -0.0849, -0.296, 0.778, 0.208, 0.211, 0.77, 0.756, 0.85, 0, 1.9, 1.9, 0, 2.9, 3.7, 0, 4.7, 3.1
987, -0.216, -0.237, -0.117, 0.515, 0.589, 0.215, 0.404, 0.116, 0, 0.16, 5.9, 0, 0, 1, 0, 0, 1, 2.6
696, -0.209, -0.354, -0.0514, 0.686, 0.0522, 0.24, 0.218, 0.283, 0, 0, 1, 4, 0.27, 13, 0, 0, 1, 5
1.49e+03, -0.139, -0.352, -0.0586, 0.306, 0.299, 0.29, 0.0177, 0.698, 5.4, 0, 6.3, 0, 0, 1, 6.3, 0.44, 21, 9.3
1.94e+03, -0.356, -0.177, -0.124, 0.0016, 0.165, 0.0233, 0.45, 0.172, 0.9, 0, 1.9, 5.7, 0, 6.7, 20, 0, 21, 9.9
508, -0.579, -0.385, -0.0956, 0.729, 0.371, 0.0702, 0.0769, 0.734, 0.95, 0.23, 8.9, 0, 0, 1, 0, 0, 1, 3.6
257, -0.443, -0.202, -0.0752, 0.712, 0.618, 0.358, 0.0258, 0.518, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
809, -0.38, -0.259, -0.0894, 0.738, 0.642, 0.192, 0.54, 0.453, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
372, -0.592, -0.0357, -0.109, 0.539, 0.632, 0.0423, 0.02, 0.653, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
1.41e+03, -0.535, -0.0184, -0.338, 0.626, 0.639, 0.0976, 0.617, 0.371, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
1.78e+03, -0.425, -0.21, -0.37, 0.659, 0.0245, 0.451, 0.273, 0.295, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
1.52e+03, -0.00675, -0.102, -0.102, 0.138, 0.0328, 0.0792, 0.542, 0.567, 0, 0, 1, 20, 0.0013, 21, 20, 0.002, 21, 14
553, -0.137, -0.128, -0.289, 0.00665, 0.0831, 0.427, 0.427, 0.743, 0.8, 0, 1.8, 5.9, 0, 6.8, 7, 0.14, 12, 6.9
379, -0.0119, -0.197, -0.324, 0.0366, 0.448, 0.394, 0.0462, 0.0907, 5.6, 0.13, 10, 4, 0, 5, 3.9, 0, 4.9, 6.7
462, -0.252, -0.268, -0.386, 0.6, 0.522, 0.451, 0.528, 0.107, 1.1, 0, 2.1, 2.5, 0, 3.5, 0, 0, 1, 2.2
712, -0.351, -0.165, -0.391, 0.549, 0.351, 0.309, 0.0599, 0.0211, 0, 0, 1, 0.9, 0, 1.9, 4.2, 0, 5.2, 2.7
325, -0.0799, -0.233, -0.119, 0.458, 0.408, 0.287, 0.766, 0.364, 2.4, 0.34, 13, 0, 0, 1, 0, 0, 1, 5.2
1.82e+03, -0.241, -0.393, -0.0823, 0.0549, 0.601, 0.0903, 0.444, 0.695, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1
341, -0.66, -0.397, -0.196, 0.671, 0.146, 0.453, 0.637, 0.405, 0, 0, 1, 1.8, 0, 2.8, 1.4, 0.28, 11, 4.9
805, -0.435, -0.161, -0.34, 0.042, 0.337, 0.0352, 0.0628, 0.285, 1.7, 0, 2.7, 4.5, 0, 5.5, 7.7, 0.018, 9.2, 5.8
